journal	paper	url	size_in_kb	author
IJHS-4-1969-Issue-1&2	Philosophical Trends and the History of Science in India— Heterodox Trends	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_6_GCPande.pdf	200.0	G C Pande
IJHS-4-1969-Issue-1&2	Social Set–Up of Science and Technology in Mughal India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_7_SGopal.pdf	158.0	Surendra Gopal
IJHS-4-1969-Issue-1&2	Development of Mathematical Ideas in India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_8_TASaraswathi.pdf	421.0	T A Saraswathi
IJHS-4-1969-Issue-1&2	Sine Table in Ancient India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_9_AKBag.pdf	133.0	AK Bag
IJHS-4-1969-Issue-1&2	Second Order Interpolation in Indian Mathematics Up To the Fifteenth Century	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_10_RCGupta.pdf	233.0	B C Gupta
IJHS-4-1969-Issue-1&2	Astronomy in Ancient and Medieval India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_11_KSShukla.pdf	146.0	K S Shukla
IJHS-4-1969-Issue-1&2	A Historical Development of Certain Hindu Astronomical Processes	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_12_TSKShastri.pdf	482.0	T S K Shastri
IJHS-4-1969-Issue-1&2	The System of the Vatesvara Siddhanta	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_13_TSKShastri.pdf	189.0	T S K Shastri
IJHS-4-1969-Issue-1&2	Ahargana In Hindu Astronomy	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_14_SPBhattacharyya.pdf	221.0	S P Bhattacharyya
IJHS-4-1969-Issue-1&2	News	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_15_News.pdf	36.0	
IJHS-4-1969-Issue-1&2	Book Review: Digestion and Metabolism in Ayurveda by C Dwarkanath	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_16_Review.pdf	57.0	P V Sharma
IJHS-5-1970-Issue-1	Some Significant Aspects of The Origin and Development of Medicine in Ancient India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_1_CDwarkanath.pdf	325.0	C Dwarkanath
IJHS-5-1970-Issue-1	Contribution to the Fundamentala of Orthopaedic Surgery	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_2_PJDeshpande.pdf	525.0	P J Deshpande
IJHS-5-1970-Issue-1	Susruta’s Contributions to the Fundamentals of Surgery	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_3_LMSingh.pdf	366.0	L M Singh
IJHS-5-1970-Issue-1	The Theory of Pancamahabhuta with Special Reference to Ayurveda	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol05_1_4_DSGaur.pdf	422.0	D S Gaur
